ID de Licitacion,Institucion Convocante,N de contrato,Titulo de contrato,Categoria,Fecha de firma de contrato,Inicio de Prestacion de Servicios,Empresa,Item Adjudicado,ID del Item,Monto Unitario por Item,Unidad de Medida,Monto total del Item
368468,Municipalidad de Ciudad del Este,LP-30151-20-189873,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,Teofilo Amarilla Silvero,Servicio de provision de almuerzo escolar,90101603-9997,782420000,1,782420000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar - Esc. Basica Nº 5450,90101603-9997,557137000,1,557137000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar - Esc. Basica Nº 6366 Virgen de Asuncion,90101603-9997,253612000,1,253612000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar- Esc. Basica Nº 1015 Rvdo Padre Guido Coronel,90101603-9997,214491000,1,214491000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar - Esc. Basica Nº 6366 Virgen de Asuncion,90101603-9997,253612000,1,253612000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar - Esc. Basica Nº 5450,90101603-9997,557137000,1,557137000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar- Esc. Basica Nº 1015 Rvdo Padre Guido Coronel,90101603-9997,214491000,1,214491000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar - Esc. Basica Nº 5450,90101603-9997,557137000,1,557137000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar - Esc. Basica Nº 6366 Virgen de Asuncion,90101603-9997,253612000,1,253612000
368468,Municipalidad de Ciudad del Este,LP-30151-20-186131,PROVISION DE ALMUERZO ESCOLAR MODALIDAD CATERING - PLURIANUAL 2019 2020,"Servicios - Servicios de ceremonial, gastronomico y funerarios",2020-05-19T12:00:00-04:00,,ISABEL PETRONA GOMEZ CABRERA,Servicio de provision de almuerzo escolar- Esc. Basica Nº 1015 Rvdo Padre Guido Coronel,90101603-9997,214491000,1,214491000
