ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Sat214647,-0.3832,70,2.38,9.0039375,0.8421183377,0.552445550315917,7.93,8.1509375,0.50598596338725
Sat215140,-0.4667,70,2.38,8.9359296875,1.0055640784,0.540909528887343,7.93,8.0579296875,0.492874701138808
Sat215635,-0.541,70,2.38,8.8949609375,1.1506197382,0.53466394281624,7.93,8.0009609375,0.485354545276667
Sat220131,-0.6084,70,2.38,8.8679667969,1.2797740138,0.525972018673334,7.93,7.9519667969,0.475081277982476
Sat220703,-0.6623,70,2.38,8.8509667969,1.3839939876,0.523224171077468,7.93,7.9249667969,0.471219525700638
Sat221216,-0.719,70,2.38,8.8379667969,1.4943836129,0.522348778189963,7.93,7.9049667969,0.469357881495522
Sat221729,-0.7299,70,2.38,8.8339648438,1.5141042621,0.519884018546711,7.93,7.8959648438,0.466488212620309
Sat214848,-0.3832,99,2.38,7.5269375,0.7080556174,0.552100771588747,7.93,6.8309375,0.510152512336763
Sat215255,-0.4667,99,2.38,7.474875,0.8471418679,0.542571845636223,7.93,6.760875,0.499338974873951
Sat215659,-0.541,99,2.38,7.4449375,0.9690016306,0.532072147111457,7.93,6.7109375,0.487430111934111
Sat220105,-0.6084,99,2.38,7.4239648437,1.0804201632,0.529172704131844,7.93,6.6809648437,0.48342253685696
Sat220519,-0.6623,99,2.38,7.4099677734,1.1669335234,0.522325570290946,7.93,6.6509677734,0.475387121871757
Sat221002,-0.719,99,2.38,7.4019667969,1.2608897039,0.521669223777955,7.93,6.6379667969,0.473661020566874
Sat221443,-0.7299,99,2.38,7.3979667969,1.2770485951,0.518210828958226,7.93,6.6279667969,0.469868540322316
Sat205557,-0.3832,107,2.38,7.227875,0.6810999049,0.554072057314315,7.93,6.564875,0.513392757365906
Sat205931,-0.4667,107,2.38,7.183875,0.8151751492,0.541628893564127,7.93,6.500875,0.499403116806439
Sat210305,-0.541,107,2.38,7.1519648437,0.9324766811,0.532885861254699,7.93,6.4509648437,0.489322844436209
Sat210647,-0.6084,107,2.38,7.1339667969,1.039433172,0.527841925162622,7.93,6.4219667969,0.483020512942054
Sat211038,-0.6623,107,2.38,7.120953125,1.1233120423,0.522199794587569,7.93,6.395953125,0.476275655300836
Sat211415,-0.719,107,2.38,7.1129677734,1.2129360636,0.519826782722111,7.93,6.3799677734,0.472820471620796
Sat211827,-0.7299,107,2.38,7.1109609375,1.229514715,0.518002425333727,7.93,6.3749609375,0.470789962129236
Sat214616,-0.3832,115,2.38,6.964875,0.6569917263,0.552824476733874,7.93,6.328875,0.512808785137744
Sat214952,-0.4667,115,2.38,6.921875,0.7868993421,0.544042317634254,7.93,6.269875,0.502865063348512
Sat215330,-0.541,115,2.38,6.8929609375,0.9000226262,0.532708899261978,7.93,6.2219609375,0.490111570352559
Sat215711,-0.6084,115,2.38,6.8769609375,1.0032377079,0.527010412730359,7.93,6.1929609375,0.483033878973247
Sat220051,-0.6623,115,2.38,6.8649667969,1.0846189241,0.522087493688122,7.93,6.1699667969,0.477099119059375
Sat220446,-0.719,115,2.38,6.8559648438,1.1706489475,0.518766625920731,7.93,6.1519648438,0.472751109774355
Sat220835,-0.7299,115,2.38,6.8539609375,1.1878667829,0.520241629365318,7.93,6.1519609375,0.474157862476985
Null,-0.3832,NaN,2.38,NaN,1.019,NaN,7.93,9.145,0.5218
Null,-0.4667,NaN,2.38,NaN,1.178,NaN,7.93,8.727,0.5598
Null,-0.541,NaN,2.38,NaN,1.277,NaN,7.93,8.382,0.5457
Null,-0.6084,NaN,2.38,NaN,1.344,NaN,7.93,7.942,0.538
Null,-0.6623,NaN,2.38,NaN,1.377,NaN,7.93,7.580,0.5551
Null,-0.719,NaN,2.38,NaN,1.487,NaN,7.93,7.520,0.5697
Null,-0.7299,NaN,2.38,NaN,1.481,NaN,7.93,7.458,0.5585
